scenario,year,esc,exporter,importer
default,2030,pipeline-h2,UA,EUE
default,2030,pipeline-h2,TM,EUSE
default,2030,pipeline-h2,TM,EUE
default,2030,pipeline-h2,UZ,EUSE
default,2030,pipeline-h2,UZ,EUE
default,2030,pipeline-h2,MN,EUSE
default,2030,pipeline-h2,MN,EUE
default,2030,pipeline-h2,MR,EUSW
default,2030,shipping-ftfuel,AR-South,T0557
default,2030,shipping-ftfuel,AR-South,T0492
default,2030,shipping-ftfuel,AR-South,T0498
default,2030,shipping-ftfuel,AR-South,T0462
default,2030,shipping-ftfuel,AR-South,T0466
default,2030,shipping-ftfuel,AR-South,T0522
default,2030,shipping-ftfuel,AR-South,T0500
default,2030,shipping-ftfuel,AR-North,T0557
default,2030,shipping-ftfuel,AR-North,T0492
default,2030,shipping-ftfuel,AR-North,T0498
default,2030,shipping-ftfuel,AR-North,T0462
default,2030,shipping-ftfuel,AR-North,T0466
default,2030,shipping-ftfuel,AR-North,T0522
default,2030,shipping-ftfuel,AR-North,T0500
default,2030,shipping-ftfuel,AU-West,T0557
default,2030,shipping-ftfuel,AU-West,T0492
default,2030,shipping-ftfuel,AU-West,T0498
default,2030,shipping-ftfuel,AU-West,T0462
default,2030,shipping-ftfuel,AU-West,T0466
default,2030,shipping-ftfuel,AU-West,T0522
default,2030,shipping-ftfuel,AU-West,T0500
default,2030,shipping-ftfuel,AU-East,T0557
default,2030,shipping-ftfuel,AU-East,T0492
default,2030,shipping-ftfuel,AU-East,T0498
default,2030,shipping-ftfuel,AU-East,T0462
default,2030,shipping-ftfuel,AU-East,T0466
default,2030,shipping-ftfuel,AU-East,T0522
default,2030,shipping-ftfuel,AU-East,T0500
default,2030,shipping-ftfuel,BR-Northeast,T0557
default,2030,shipping-ftfuel,BR-Northeast,T0492
default,2030,shipping-ftfuel,BR-Northeast,T0498
default,2030,shipping-ftfuel,BR-Northeast,T0462
default,2030,shipping-ftfuel,BR-Northeast,T0466
default,2030,shipping-ftfuel,BR-Northeast,T0522
default,2030,shipping-ftfuel,BR-Northeast,T0500
default,2030,shipping-ftfuel,BR-Southeast,T0557
default,2030,shipping-ftfuel,BR-Southeast,T0492
default,2030,shipping-ftfuel,BR-Southeast,T0498
default,2030,shipping-ftfuel,BR-Southeast,T0462
default,2030,shipping-ftfuel,BR-Southeast,T0466
default,2030,shipping-ftfuel,BR-Southeast,T0522
default,2030,shipping-ftfuel,BR-Southeast,T0500
default,2030,shipping-ftfuel,CA-East,T0557
default,2030,shipping-ftfuel,CA-East,T0492
default,2030,shipping-ftfuel,CA-East,T0498
default,2030,shipping-ftfuel,CA-East,T0462
default,2030,shipping-ftfuel,CA-East,T0466
default,2030,shipping-ftfuel,CA-East,T0522
default,2030,shipping-ftfuel,CA-East,T0500
default,2030,shipping-ftfuel,CL,T0557
default,2030,shipping-ftfuel,CL,T0492
default,2030,shipping-ftfuel,CL,T0498
default,2030,shipping-ftfuel,CL,T0462
default,2030,shipping-ftfuel,CL,T0466
default,2030,shipping-ftfuel,CL,T0522
default,2030,shipping-ftfuel,CL,T0500
default,2030,shipping-ftfuel,CN-Northeast,T0557
default,2030,shipping-ftfuel,CN-Northeast,T0492
default,2030,shipping-ftfuel,CN-Northeast,T0498
default,2030,shipping-ftfuel,CN-Northeast,T0462
default,2030,shipping-ftfuel,CN-Northeast,T0466
default,2030,shipping-ftfuel,CN-Northeast,T0522
default,2030,shipping-ftfuel,CN-Northeast,T0500
default,2030,shipping-ftfuel,CN-Southeast,T0557
default,2030,shipping-ftfuel,CN-Southeast,T0492
default,2030,shipping-ftfuel,CN-Southeast,T0498
default,2030,shipping-ftfuel,CN-Southeast,T0462
default,2030,shipping-ftfuel,CN-Southeast,T0466
default,2030,shipping-ftfuel,CN-Southeast,T0522
default,2030,shipping-ftfuel,CN-Southeast,T0500
default,2030,shipping-ftfuel,DZ,T0557
default,2030,shipping-ftfuel,DZ,T0492
default,2030,shipping-ftfuel,DZ,T0498
default,2030,shipping-ftfuel,DZ,T0462
default,2030,shipping-ftfuel,DZ,T0466
default,2030,shipping-ftfuel,DZ,T0522
default,2030,shipping-ftfuel,DZ,T0500
default,2030,shipping-ftfuel,EG,T0557
default,2030,shipping-ftfuel,EG,T0492
default,2030,shipping-ftfuel,EG,T0498
default,2030,shipping-ftfuel,EG,T0462
default,2030,shipping-ftfuel,EG,T0466
default,2030,shipping-ftfuel,EG,T0522
default,2030,shipping-ftfuel,EG,T0500
default,2030,shipping-ftfuel,LY,T0557
default,2030,shipping-ftfuel,LY,T0492
default,2030,shipping-ftfuel,LY,T0498
default,2030,shipping-ftfuel,LY,T0462
default,2030,shipping-ftfuel,LY,T0466
default,2030,shipping-ftfuel,LY,T0522
default,2030,shipping-ftfuel,LY,T0500
default,2030,shipping-ftfuel,MA,T0557
default,2030,shipping-ftfuel,MA,T0492
default,2030,shipping-ftfuel,MA,T0498
default,2030,shipping-ftfuel,MA,T0462
default,2030,shipping-ftfuel,MA,T0466
default,2030,shipping-ftfuel,MA,T0522
default,2030,shipping-ftfuel,MA,T0500
default,2030,shipping-ftfuel,EH,T0557
default,2030,shipping-ftfuel,EH,T0492
default,2030,shipping-ftfuel,EH,T0498
default,2030,shipping-ftfuel,EH,T0462
default,2030,shipping-ftfuel,EH,T0466
default,2030,shipping-ftfuel,EH,T0522
default,2030,shipping-ftfuel,EH,T0500
default,2030,shipping-ftfuel,NA,T0557
default,2030,shipping-ftfuel,NA,T0492
default,2030,shipping-ftfuel,NA,T0498
default,2030,shipping-ftfuel,NA,T0462
default,2030,shipping-ftfuel,NA,T0466
default,2030,shipping-ftfuel,NA,T0522
default,2030,shipping-ftfuel,NA,T0500
default,2030,shipping-ftfuel,OM,T0557
default,2030,shipping-ftfuel,OM,T0492
default,2030,shipping-ftfuel,OM,T0498
default,2030,shipping-ftfuel,OM,T0462
default,2030,shipping-ftfuel,OM,T0466
default,2030,shipping-ftfuel,OM,T0522
default,2030,shipping-ftfuel,OM,T0500
default,2030,shipping-ftfuel,SA,T0557
default,2030,shipping-ftfuel,SA,T0492
default,2030,shipping-ftfuel,SA,T0498
default,2030,shipping-ftfuel,SA,T0462
default,2030,shipping-ftfuel,SA,T0466
default,2030,shipping-ftfuel,SA,T0522
default,2030,shipping-ftfuel,SA,T0500
default,2030,shipping-ftfuel,TN,T0557
default,2030,shipping-ftfuel,TN,T0492
default,2030,shipping-ftfuel,TN,T0498
default,2030,shipping-ftfuel,TN,T0462
default,2030,shipping-ftfuel,TN,T0466
default,2030,shipping-ftfuel,TN,T0522
default,2030,shipping-ftfuel,TN,T0500
default,2030,shipping-ftfuel,TR,T0557
default,2030,shipping-ftfuel,TR,T0492
default,2030,shipping-ftfuel,TR,T0498
default,2030,shipping-ftfuel,TR,T0462
default,2030,shipping-ftfuel,TR,T0466
default,2030,shipping-ftfuel,TR,T0522
default,2030,shipping-ftfuel,TR,T0500
default,2030,shipping-ftfuel,UA,T0557
default,2030,shipping-ftfuel,UA,T0492
default,2030,shipping-ftfuel,UA,T0498
default,2030,shipping-ftfuel,UA,T0462
default,2030,shipping-ftfuel,UA,T0466
default,2030,shipping-ftfuel,UA,T0522
default,2030,shipping-ftfuel,UA,T0500
default,2030,shipping-ftfuel,US-Northeast,T0557
default,2030,shipping-ftfuel,US-Northeast,T0492
default,2030,shipping-ftfuel,US-Northeast,T0498
default,2030,shipping-ftfuel,US-Northeast,T0462
default,2030,shipping-ftfuel,US-Northeast,T0466
default,2030,shipping-ftfuel,US-Northeast,T0522
default,2030,shipping-ftfuel,US-Northeast,T0500
default,2030,shipping-ftfuel,US-Southeast,T0557
default,2030,shipping-ftfuel,US-Southeast,T0492
default,2030,shipping-ftfuel,US-Southeast,T0498
default,2030,shipping-ftfuel,US-Southeast,T0462
default,2030,shipping-ftfuel,US-Southeast,T0466
default,2030,shipping-ftfuel,US-Southeast,T0522
default,2030,shipping-ftfuel,US-Southeast,T0500
default,2030,shipping-ftfuel,US-Northwest,T0557
default,2030,shipping-ftfuel,US-Northwest,T0492
default,2030,shipping-ftfuel,US-Northwest,T0498
default,2030,shipping-ftfuel,US-Northwest,T0462
default,2030,shipping-ftfuel,US-Northwest,T0466
default,2030,shipping-ftfuel,US-Northwest,T0522
default,2030,shipping-ftfuel,US-Northwest,T0500
default,2030,shipping-ftfuel,US-South,T0557
default,2030,shipping-ftfuel,US-South,T0492
default,2030,shipping-ftfuel,US-South,T0498
default,2030,shipping-ftfuel,US-South,T0462
default,2030,shipping-ftfuel,US-South,T0466
default,2030,shipping-ftfuel,US-South,T0522
default,2030,shipping-ftfuel,US-South,T0500
default,2030,shipping-ftfuel,US-Southwest,T0557
default,2030,shipping-ftfuel,US-Southwest,T0492
default,2030,shipping-ftfuel,US-Southwest,T0498
default,2030,shipping-ftfuel,US-Southwest,T0462
default,2030,shipping-ftfuel,US-Southwest,T0466
default,2030,shipping-ftfuel,US-Southwest,T0522
default,2030,shipping-ftfuel,US-Southwest,T0500
default,2030,shipping-ftfuel,US-Alaska,T0557
default,2030,shipping-ftfuel,US-Alaska,T0492
default,2030,shipping-ftfuel,US-Alaska,T0498
default,2030,shipping-ftfuel,US-Alaska,T0462
default,2030,shipping-ftfuel,US-Alaska,T0466
default,2030,shipping-ftfuel,US-Alaska,T0522
default,2030,shipping-ftfuel,US-Alaska,T0500
default,2030,shipping-ftfuel,MX,T0557
default,2030,shipping-ftfuel,MX,T0492
default,2030,shipping-ftfuel,MX,T0498
default,2030,shipping-ftfuel,MX,T0462
default,2030,shipping-ftfuel,MX,T0466
default,2030,shipping-ftfuel,MX,T0522
default,2030,shipping-ftfuel,MX,T0500
default,2030,shipping-ftfuel,PK,T0557
default,2030,shipping-ftfuel,PK,T0492
default,2030,shipping-ftfuel,PK,T0498
default,2030,shipping-ftfuel,PK,T0462
default,2030,shipping-ftfuel,PK,T0466
default,2030,shipping-ftfuel,PK,T0522
default,2030,shipping-ftfuel,PK,T0500
default,2030,shipping-ftfuel,TH,T0557
default,2030,shipping-ftfuel,TH,T0492
default,2030,shipping-ftfuel,TH,T0498
default,2030,shipping-ftfuel,TH,T0462
default,2030,shipping-ftfuel,TH,T0466
default,2030,shipping-ftfuel,TH,T0522
default,2030,shipping-ftfuel,TH,T0500
default,2030,shipping-ftfuel,ZA,T0557
default,2030,shipping-ftfuel,ZA,T0492
default,2030,shipping-ftfuel,ZA,T0498
default,2030,shipping-ftfuel,ZA,T0462
default,2030,shipping-ftfuel,ZA,T0466
default,2030,shipping-ftfuel,ZA,T0522
default,2030,shipping-ftfuel,ZA,T0500
default,2030,shipping-ftfuel,KE,T0557
default,2030,shipping-ftfuel,KE,T0492
default,2030,shipping-ftfuel,KE,T0498
default,2030,shipping-ftfuel,KE,T0462
default,2030,shipping-ftfuel,KE,T0466
default,2030,shipping-ftfuel,KE,T0522
default,2030,shipping-ftfuel,KE,T0500
default,2030,shipping-ftfuel,TZ,T0557
default,2030,shipping-ftfuel,TZ,T0492
default,2030,shipping-ftfuel,TZ,T0498
default,2030,shipping-ftfuel,TZ,T0462
default,2030,shipping-ftfuel,TZ,T0466
default,2030,shipping-ftfuel,TZ,T0522
default,2030,shipping-ftfuel,TZ,T0500
default,2030,shipping-ftfuel,NG,T0557
default,2030,shipping-ftfuel,NG,T0492
default,2030,shipping-ftfuel,NG,T0498
default,2030,shipping-ftfuel,NG,T0462
default,2030,shipping-ftfuel,NG,T0466
default,2030,shipping-ftfuel,NG,T0522
default,2030,shipping-ftfuel,NG,T0500
default,2030,shipping-ftfuel,AO,T0557
default,2030,shipping-ftfuel,AO,T0492
default,2030,shipping-ftfuel,AO,T0498
default,2030,shipping-ftfuel,AO,T0462
default,2030,shipping-ftfuel,AO,T0466
default,2030,shipping-ftfuel,AO,T0522
default,2030,shipping-ftfuel,AO,T0500
default,2030,shipping-ftfuel,ET,T0557
default,2030,shipping-ftfuel,ET,T0492
default,2030,shipping-ftfuel,ET,T0498
default,2030,shipping-ftfuel,ET,T0462
default,2030,shipping-ftfuel,ET,T0466
default,2030,shipping-ftfuel,ET,T0522
default,2030,shipping-ftfuel,ET,T0500
default,2030,shipping-ftfuel,MZ,T0557
default,2030,shipping-ftfuel,MZ,T0492
default,2030,shipping-ftfuel,MZ,T0498
default,2030,shipping-ftfuel,MZ,T0462
default,2030,shipping-ftfuel,MZ,T0466
default,2030,shipping-ftfuel,MZ,T0522
default,2030,shipping-ftfuel,MZ,T0500
default,2030,shipping-ftfuel,ER,T0557
default,2030,shipping-ftfuel,ER,T0492
default,2030,shipping-ftfuel,ER,T0498
default,2030,shipping-ftfuel,ER,T0462
default,2030,shipping-ftfuel,ER,T0466
default,2030,shipping-ftfuel,ER,T0522
default,2030,shipping-ftfuel,ER,T0500
default,2030,shipping-ftfuel,MR,T0557
default,2030,shipping-ftfuel,MR,T0492
default,2030,shipping-ftfuel,MR,T0498
default,2030,shipping-ftfuel,MR,T0462
default,2030,shipping-ftfuel,MR,T0466
default,2030,shipping-ftfuel,MR,T0522
default,2030,shipping-ftfuel,MR,T0500
default,2030,shipping-ftfuel,SN,T0557
default,2030,shipping-ftfuel,SN,T0492
default,2030,shipping-ftfuel,SN,T0498
default,2030,shipping-ftfuel,SN,T0462
default,2030,shipping-ftfuel,SN,T0466
default,2030,shipping-ftfuel,SN,T0522
default,2030,shipping-ftfuel,SN,T0500
default,2030,shipping-ftfuel,UY,T0557
default,2030,shipping-ftfuel,UY,T0492
default,2030,shipping-ftfuel,UY,T0498
default,2030,shipping-ftfuel,UY,T0462
default,2030,shipping-ftfuel,UY,T0466
default,2030,shipping-ftfuel,UY,T0522
default,2030,shipping-ftfuel,UY,T0500
default,2030,shipping-ftfuel,CO,T0557
default,2030,shipping-ftfuel,CO,T0492
default,2030,shipping-ftfuel,CO,T0498
default,2030,shipping-ftfuel,CO,T0462
default,2030,shipping-ftfuel,CO,T0466
default,2030,shipping-ftfuel,CO,T0522
default,2030,shipping-ftfuel,CO,T0500
default,2030,shipping-ftfuel,PE,T0557
default,2030,shipping-ftfuel,PE,T0492
default,2030,shipping-ftfuel,PE,T0498
default,2030,shipping-ftfuel,PE,T0462
default,2030,shipping-ftfuel,PE,T0466
default,2030,shipping-ftfuel,PE,T0522
default,2030,shipping-ftfuel,PE,T0500
default,2030,shipping-ftfuel,IN-Northwest,T0557
default,2030,shipping-ftfuel,IN-Northwest,T0492
default,2030,shipping-ftfuel,IN-Northwest,T0498
default,2030,shipping-ftfuel,IN-Northwest,T0462
default,2030,shipping-ftfuel,IN-Northwest,T0466
default,2030,shipping-ftfuel,IN-Northwest,T0522
default,2030,shipping-ftfuel,IN-Northwest,T0500
default,2030,shipping-ftfuel,IN-South,T0557
default,2030,shipping-ftfuel,IN-South,T0492
default,2030,shipping-ftfuel,IN-South,T0498
default,2030,shipping-ftfuel,IN-South,T0462
default,2030,shipping-ftfuel,IN-South,T0466
default,2030,shipping-ftfuel,IN-South,T0522
default,2030,shipping-ftfuel,IN-South,T0500
default,2030,shipping-ftfuel,IN-East,T0557
default,2030,shipping-ftfuel,IN-East,T0492
default,2030,shipping-ftfuel,IN-East,T0498
default,2030,shipping-ftfuel,IN-East,T0462
default,2030,shipping-ftfuel,IN-East,T0466
default,2030,shipping-ftfuel,IN-East,T0522
default,2030,shipping-ftfuel,IN-East,T0500
default,2030,shipping-ftfuel,MG,T0557
default,2030,shipping-ftfuel,MG,T0492
default,2030,shipping-ftfuel,MG,T0498
default,2030,shipping-ftfuel,MG,T0462
default,2030,shipping-ftfuel,MG,T0466
default,2030,shipping-ftfuel,MG,T0522
default,2030,shipping-ftfuel,MG,T0500
default,2030,shipping-ftfuel,BO,T0557
default,2030,shipping-ftfuel,BO,T0492
default,2030,shipping-ftfuel,BO,T0498
default,2030,shipping-ftfuel,BO,T0462
default,2030,shipping-ftfuel,BO,T0466
default,2030,shipping-ftfuel,BO,T0522
default,2030,shipping-ftfuel,BO,T0500
default,2030,shipping-lch4,AR-South,T0557
default,2030,shipping-lch4,AR-South,T0492
default,2030,shipping-lch4,AR-South,T0498
default,2030,shipping-lch4,AR-South,T0462
default,2030,shipping-lch4,AR-South,T0466
default,2030,shipping-lch4,AR-South,T0522
default,2030,shipping-lch4,AR-South,T0500
default,2030,shipping-lch4,AR-North,T0557
default,2030,shipping-lch4,AR-North,T0492
default,2030,shipping-lch4,AR-North,T0498
default,2030,shipping-lch4,AR-North,T0462
default,2030,shipping-lch4,AR-North,T0466
default,2030,shipping-lch4,AR-North,T0522
default,2030,shipping-lch4,AR-North,T0500
default,2030,shipping-lch4,AU-West,T0557
default,2030,shipping-lch4,AU-West,T0492
default,2030,shipping-lch4,AU-West,T0498
default,2030,shipping-lch4,AU-West,T0462
default,2030,shipping-lch4,AU-West,T0466
default,2030,shipping-lch4,AU-West,T0522
default,2030,shipping-lch4,AU-West,T0500
default,2030,shipping-lch4,AU-East,T0557
default,2030,shipping-lch4,AU-East,T0492
default,2030,shipping-lch4,AU-East,T0498
default,2030,shipping-lch4,AU-East,T0462
default,2030,shipping-lch4,AU-East,T0466
default,2030,shipping-lch4,AU-East,T0522
default,2030,shipping-lch4,AU-East,T0500
default,2030,shipping-lch4,BR-Northeast,T0557
default,2030,shipping-lch4,BR-Northeast,T0492
default,2030,shipping-lch4,BR-Northeast,T0498
default,2030,shipping-lch4,BR-Northeast,T0462
default,2030,shipping-lch4,BR-Northeast,T0466
default,2030,shipping-lch4,BR-Northeast,T0522
default,2030,shipping-lch4,BR-Northeast,T0500
default,2030,shipping-lch4,BR-Southeast,T0557
default,2030,shipping-lch4,BR-Southeast,T0492
default,2030,shipping-lch4,BR-Southeast,T0498
default,2030,shipping-lch4,BR-Southeast,T0462
default,2030,shipping-lch4,BR-Southeast,T0466
default,2030,shipping-lch4,BR-Southeast,T0522
default,2030,shipping-lch4,BR-Southeast,T0500
default,2030,shipping-lch4,CA-East,T0557
default,2030,shipping-lch4,CA-East,T0492
default,2030,shipping-lch4,CA-East,T0498
default,2030,shipping-lch4,CA-East,T0462
default,2030,shipping-lch4,CA-East,T0466
default,2030,shipping-lch4,CA-East,T0522
default,2030,shipping-lch4,CA-East,T0500
default,2030,shipping-lch4,CL,T0557
default,2030,shipping-lch4,CL,T0492
default,2030,shipping-lch4,CL,T0498
default,2030,shipping-lch4,CL,T0462
default,2030,shipping-lch4,CL,T0466
default,2030,shipping-lch4,CL,T0522
default,2030,shipping-lch4,CL,T0500
default,2030,shipping-lch4,CN-Northeast,T0557
default,2030,shipping-lch4,CN-Northeast,T0492
default,2030,shipping-lch4,CN-Northeast,T0498
default,2030,shipping-lch4,CN-Northeast,T0462
default,2030,shipping-lch4,CN-Northeast,T0466
default,2030,shipping-lch4,CN-Northeast,T0522
default,2030,shipping-lch4,CN-Northeast,T0500
default,2030,shipping-lch4,CN-Southeast,T0557
default,2030,shipping-lch4,CN-Southeast,T0492
default,2030,shipping-lch4,CN-Southeast,T0498
default,2030,shipping-lch4,CN-Southeast,T0462
default,2030,shipping-lch4,CN-Southeast,T0466
default,2030,shipping-lch4,CN-Southeast,T0522
default,2030,shipping-lch4,CN-Southeast,T0500
default,2030,shipping-lch4,DZ,T0557
default,2030,shipping-lch4,DZ,T0492
default,2030,shipping-lch4,DZ,T0498
default,2030,shipping-lch4,DZ,T0462
default,2030,shipping-lch4,DZ,T0466
default,2030,shipping-lch4,DZ,T0522
default,2030,shipping-lch4,DZ,T0500
default,2030,shipping-lch4,EG,T0557
default,2030,shipping-lch4,EG,T0492
default,2030,shipping-lch4,EG,T0498
default,2030,shipping-lch4,EG,T0462
default,2030,shipping-lch4,EG,T0466
default,2030,shipping-lch4,EG,T0522
default,2030,shipping-lch4,EG,T0500
default,2030,shipping-lch4,LY,T0557
default,2030,shipping-lch4,LY,T0492
default,2030,shipping-lch4,LY,T0498
default,2030,shipping-lch4,LY,T0462
default,2030,shipping-lch4,LY,T0466
default,2030,shipping-lch4,LY,T0522
default,2030,shipping-lch4,LY,T0500
default,2030,shipping-lch4,MA,T0557
default,2030,shipping-lch4,MA,T0492
default,2030,shipping-lch4,MA,T0498
default,2030,shipping-lch4,MA,T0462
default,2030,shipping-lch4,MA,T0466
default,2030,shipping-lch4,MA,T0522
default,2030,shipping-lch4,MA,T0500
default,2030,shipping-lch4,EH,T0557
default,2030,shipping-lch4,EH,T0492
default,2030,shipping-lch4,EH,T0498
default,2030,shipping-lch4,EH,T0462
default,2030,shipping-lch4,EH,T0466
default,2030,shipping-lch4,EH,T0522
default,2030,shipping-lch4,EH,T0500
default,2030,shipping-lch4,NA,T0557
default,2030,shipping-lch4,NA,T0492
default,2030,shipping-lch4,NA,T0498
default,2030,shipping-lch4,NA,T0462
default,2030,shipping-lch4,NA,T0466
default,2030,shipping-lch4,NA,T0522
default,2030,shipping-lch4,NA,T0500
default,2030,shipping-lch4,OM,T0557
default,2030,shipping-lch4,OM,T0492
default,2030,shipping-lch4,OM,T0498
default,2030,shipping-lch4,OM,T0462
default,2030,shipping-lch4,OM,T0466
default,2030,shipping-lch4,OM,T0522
default,2030,shipping-lch4,OM,T0500
default,2030,shipping-lch4,SA,T0557
default,2030,shipping-lch4,SA,T0492
default,2030,shipping-lch4,SA,T0498
default,2030,shipping-lch4,SA,T0462
default,2030,shipping-lch4,SA,T0466
default,2030,shipping-lch4,SA,T0522
default,2030,shipping-lch4,SA,T0500
default,2030,shipping-lch4,TN,T0557
default,2030,shipping-lch4,TN,T0492
default,2030,shipping-lch4,TN,T0498
default,2030,shipping-lch4,TN,T0462
default,2030,shipping-lch4,TN,T0466
default,2030,shipping-lch4,TN,T0522
default,2030,shipping-lch4,TN,T0500
default,2030,shipping-lch4,TR,T0557
default,2030,shipping-lch4,TR,T0492
default,2030,shipping-lch4,TR,T0498
default,2030,shipping-lch4,TR,T0462
default,2030,shipping-lch4,TR,T0466
default,2030,shipping-lch4,TR,T0522
default,2030,shipping-lch4,TR,T0500
default,2030,shipping-lch4,UA,T0557
default,2030,shipping-lch4,UA,T0492
default,2030,shipping-lch4,UA,T0498
default,2030,shipping-lch4,UA,T0462
default,2030,shipping-lch4,UA,T0466
default,2030,shipping-lch4,UA,T0522
default,2030,shipping-lch4,UA,T0500
default,2030,shipping-lch4,US-Northeast,T0557
default,2030,shipping-lch4,US-Northeast,T0492
default,2030,shipping-lch4,US-Northeast,T0498
default,2030,shipping-lch4,US-Northeast,T0462
default,2030,shipping-lch4,US-Northeast,T0466
default,2030,shipping-lch4,US-Northeast,T0522
default,2030,shipping-lch4,US-Northeast,T0500
default,2030,shipping-lch4,US-Southeast,T0557
default,2030,shipping-lch4,US-Southeast,T0492
default,2030,shipping-lch4,US-Southeast,T0498
default,2030,shipping-lch4,US-Southeast,T0462
default,2030,shipping-lch4,US-Southeast,T0466
default,2030,shipping-lch4,US-Southeast,T0522
default,2030,shipping-lch4,US-Southeast,T0500
default,2030,shipping-lch4,US-Northwest,T0557
default,2030,shipping-lch4,US-Northwest,T0492
default,2030,shipping-lch4,US-Northwest,T0498
default,2030,shipping-lch4,US-Northwest,T0462
default,2030,shipping-lch4,US-Northwest,T0466
default,2030,shipping-lch4,US-Northwest,T0522
default,2030,shipping-lch4,US-Northwest,T0500
default,2030,shipping-lch4,US-South,T0557
default,2030,shipping-lch4,US-South,T0492
default,2030,shipping-lch4,US-South,T0498
default,2030,shipping-lch4,US-South,T0462
default,2030,shipping-lch4,US-South,T0466
default,2030,shipping-lch4,US-South,T0522
default,2030,shipping-lch4,US-South,T0500
default,2030,shipping-lch4,US-Southwest,T0557
default,2030,shipping-lch4,US-Southwest,T0492
default,2030,shipping-lch4,US-Southwest,T0498
default,2030,shipping-lch4,US-Southwest,T0462
default,2030,shipping-lch4,US-Southwest,T0466
default,2030,shipping-lch4,US-Southwest,T0522
default,2030,shipping-lch4,US-Southwest,T0500
default,2030,shipping-lch4,US-Alaska,T0557
default,2030,shipping-lch4,US-Alaska,T0492
default,2030,shipping-lch4,US-Alaska,T0498
default,2030,shipping-lch4,US-Alaska,T0462
default,2030,shipping-lch4,US-Alaska,T0466
default,2030,shipping-lch4,US-Alaska,T0522
default,2030,shipping-lch4,US-Alaska,T0500
default,2030,shipping-lch4,MX,T0557
default,2030,shipping-lch4,MX,T0492
default,2030,shipping-lch4,MX,T0498
default,2030,shipping-lch4,MX,T0462
default,2030,shipping-lch4,MX,T0466
default,2030,shipping-lch4,MX,T0522
default,2030,shipping-lch4,MX,T0500
default,2030,shipping-lch4,PK,T0557
default,2030,shipping-lch4,PK,T0492
default,2030,shipping-lch4,PK,T0498
default,2030,shipping-lch4,PK,T0462
default,2030,shipping-lch4,PK,T0466
default,2030,shipping-lch4,PK,T0522
default,2030,shipping-lch4,PK,T0500
default,2030,shipping-lch4,TH,T0557
default,2030,shipping-lch4,TH,T0492
default,2030,shipping-lch4,TH,T0498
default,2030,shipping-lch4,TH,T0462
default,2030,shipping-lch4,TH,T0466
default,2030,shipping-lch4,TH,T0522
default,2030,shipping-lch4,TH,T0500
default,2030,shipping-lch4,ZA,T0557
default,2030,shipping-lch4,ZA,T0492
default,2030,shipping-lch4,ZA,T0498
default,2030,shipping-lch4,ZA,T0462
default,2030,shipping-lch4,ZA,T0466
default,2030,shipping-lch4,ZA,T0522
default,2030,shipping-lch4,ZA,T0500
default,2030,shipping-lch4,KE,T0557
default,2030,shipping-lch4,KE,T0492
default,2030,shipping-lch4,KE,T0498
default,2030,shipping-lch4,KE,T0462
default,2030,shipping-lch4,KE,T0466
default,2030,shipping-lch4,KE,T0522
default,2030,shipping-lch4,KE,T0500
